kimberling;trilins;name
X109;a/((b-c)*(-a+b+c))|b/((-a+c)*(a-b+c))|c/((a-b)*(a+b-c));Ψ(INCENTER,CIRCUMCENTER)
X110;a/(b2-c2)|b/(-a2+c2)|c/(a2-b2);FOCUS OF KIEPERT PARABOLA
X111;a/(2*a2-b2-c2)|b/(-a2+2*b2-c2)|c/(-a2-b2+2*c2);PARRY POINT
X112;a/((b2-c2)*(-a2+b2+c2))|b/((-a2+c2)*(a2-b2+c2))|c/((a2-b2)*(a2+b2-c2));Ψ(ORTHOCENTER,SYMMEDIAN POINT)
X113;sinB*sinC*(sinB/(cosB-2*cosA*cosC)+sinC/(-2*cosA*cosB+cosC))|sinA*sinC*(sinA/(cosA-2*cosB*cosC)+sinC/(-2*cosA*cosB+cosC))|sinA*sinB*(sinA/(cosA-2*cosB*cosC)+sinB/(cosB-2*cosA*cosC));JERABEK ANTIPODE
X114;((-(a2*b2)+b4-a2*c2+c4)*(2*a4-a2*b2+b4-a2*c2-2*b2*c2+c4))/a|((a4-a2*b2-b2*c2+c4)*(a4-a2*b2+2*b4-2*a2*c2-b2*c2+c4))/b|((a4+b4-a2*c2-b2*c2)*(a4-2*a2*b2+b4-a2*c2-b2*c2+2*c4))/c;KIEPERT ANTIPODE
X115;b*c*(b2-c2)*(b2-c2)|a*c*(-a2+c2)*(-a2+c2)|a*b*(a2-b2)*(a2-b2);CENTER OF KIEPERT HYPERBOLA
X116;b*(b-c)*(b-c)*c*(-(a*b)+b2-a*c+b*c+c2)|a*c*(-a+c)*(-a+c)*(a2-a*b+a*c-b*c+c2)|a*(a-b)*(a-b)*b*(a2+a*b+b2-a*c-b*c);MIDPOINT OF X4 AND X103
X117;(b2*c)/(a*(-secA+secB)+c*(secB-secC))+(b*c2)/(a*(-secA+secC)+b*(-secB+secC))|(a2*c)/(b*(secA-secB)+c*(secA-secC))+(a*c2)/(a*(-secA+secC)+b*(-secB+secC))|(a2*b)/(b*(secA-secB)+c*(secA-secC))+(a*b2)/(a*(-secA+secB)+c*(secB-secC));MIDPOINT OF X4 AND X109
X118;(b*c3)/((-b+c)/tanA+(-a+c)/tanB)+(b3*c)/((b-c)/tanA+(-a+b)/tanC)|(a*c3)/((-b+c)/tanA+(-a+c)/tanB)+(a3*c)/((a-c)/tanB+(a-b)/tanC)|(a3*b)/((a-c)/tanB+(a-b)/tanC)+(a*b3)/((b-c)/tanA+(-a+b)/tanC);MIDPOINT OF X4 AND X101
X119;(-1+cosB+cosC)*cscA*(sin2B+sin2C+2*(-1+cosA)*(sinB+sinC))|(-1+cosA+cosC)*cscB*(sin2A+sin2C+2*(-1+cosB)*(sinA+sinC))|(-1+cosA+cosB)*cscC*(sin2A+sin2B+2*(-1+cosC)*(sinA+sinB));X119 = FEUERBACH ANTIPODE
X120;b*c*(2*a*b*c-(a2+(b-c)*(b-c))*(b+c))*(-(a*b)+b2-a*c+c2)|a*c*(2*a*b*c-(a+c)*(b2+(-a+c)*(-a+c)))*(a2-a*b-b*c+c2)|a*b*(a2+b2-a*c-b*c)*(2*a*b*c-(a+b)*((a-b)*(a-b)+c2));X105-OF-MEDIAL-TRIANGLE
X121;b*c*(-2*a+b+c)*(b3-2*b*c*(b+c)+a*(b2+c2)+c3)|a*c*(a-2*b+c)*(a3-2*a*c*(a+c)+b*(a2+c2)+c3)|a*b*(a+b-2*c)*(a3-2*a*b*(a+b)+b3+(a2+b2)*c);X106-OF-MEDIAL-TRIANGLE
X122;((b2-c2)*(b2-c2)*(cosA-cosB*cosC))/(tanA*tanA)|((-a2+c2)*(-a2+c2)*(cosB-cosA*cosC))/(tanB*tanB)|((a2-b2)*(a2-b2)*(-(cosA*cosB)+cosC))/(tanC*tanC);X107-OF-MEDIAL-TRIANGLE
X123;cscA*(secB-secC)*(secA*(sin2B-sin2C)-sinB*tanB+sinC*tanC)|cscB*(-secA+secC)*(secB*(-sin2A+sin2C)+sinA*tanA-sinC*tanC)|cscC*(secA-secB)*(secC*(sin2A-sin2B)-sinA*tanA+sinB*tanB);X108-OF-MEDIAL-TRIANGLE
X124;b*(b-c)*(b-c)*c*(-a+b+c)*(a*b*c+(b+c)*(-a2+b2-b*c+c2))|a*c*(-a+c)*(-a+c)*(a-b+c)*(a*b*c+(a+c)*(a2-b2-a*c+c2))|a*(a-b)*(a-b)*b*(a+b-c)*(a*b*c+(a+b)*(a2-a*b+b2-c2));X109-OF-MEDIAL-TRIANGLE
X125;b*c*(b2-c2)*(b2-c2)*(-a2+b2+c2)|a*c*(-a2+c2)*(-a2+c2)*(a2-b2+c2)|a*b*(a2-b2)*(a2-b2)*(a2+b2-c2);CENTER OF JERABEK HYPERBOLA
X126;b*c*(2*a2-b2-c2)*(b4-4*b2*c2+a2*(b2+c2)+c4)|a*c*(-a2+2*b2-c2)*(a4-4*a2*c2+b2*(a2+c2)+c4)|a*b*(-a2-b2+2*c2)*(a4-4*a2*b2+b4+(a2+b2)*c2);X111-OF-MEDIAL-TRIANGLE
X127;b*c*(sin2B-sin2C)*((b2-c2)*sin2A-b2*sin2B+c2*sin2C)|a*c*(-sin2A+sin2C)*(a2*sin2A+(-a2+c2)*sin2B-c2*sin2C)|a*b*(sin2A-sin2B)*(-(a2*sin2A)+b2*sin2B+(a2-b2)*sin2C);X112-OF-MEDIAL-TRIANGLE
X128;(1+2*cos2A)*(cos2B+cos2C)*(cos2A+2*cos2B*cos2C)*secA|(1+2*cos2B)*(cos2A+cos2C)*(cos2B+2*cos2A*cos2C)*secB|(cos2A+cos2B)*(2*cos2A*cos2B+cos2C)*(1+2*cos2C)*secC;X74-OF-ORTHIC-TRIANGLE
X129;secA*sin2A*(sin2B+sin2C)*(-(sin2A*sin2A*sin2B*sin2B)+Math.pow(sin2B,4)-sin2A*sin2A*sin2C*sin2C+Math.pow(sin2C,4))*(Math.pow(sin2A,4)+sin2B*(sin2B-sin2C)*(sin2B-sin2C)*sin2C+sin2A*sin2A*(-sin2B*sin2B+sin2B*sin2C-sin2C*sin2C))|secB*sin2B*(sin2A+sin2C)*(Math.pow(sin2A,4)-sin2A*sin2A*sin2B*sin2B-sin2B*sin2B*sin2C*sin2C+Math.pow(sin2C,4))*(Math.pow(sin2B,4)+sin2A*sin2C*(-sin2A+sin2C)*(-sin2A+sin2C)+sin2B*sin2B*(-sin2A*sin2A+sin2A*sin2C-sin2C*sin2C))|secC*(sin2A+sin2B)*sin2C*(Math.pow(sin2A,4)+Math.pow(sin2B,4)-sin2A*sin2A*sin2C*sin2C-sin2B*sin2B*sin2C*sin2C)*(sin2A*(sin2A-sin2B)*(sin2A-sin2B)*sin2B+(-sin2A*sin2A+sin2A*sin2B-sin2B*sin2B)*sin2C*sin2C+Math.pow(sin2C,4));X98-OF-ORTHIC-TRIANGLE
X130;(sin2B-sin2C)*(sin2B-sin2C)*(sin2B+sin2C)*(sin2A*sin2A+sin2B*sin2C)*sinA|(-sin2A+sin2C)*(-sin2A+sin2C)*(sin2A+sin2C)*(sin2B*sin2B+sin2A*sin2C)*sinB|(sin2A-sin2B)*(sin2A-sin2B)*(sin2A+sin2B)*(sin2A*sin2B+sin2C*sin2C)*sinC;X99-OF-ORTHIC-TRIANGLE
X131;secA*(-(S*sec2A)+sumT2)*(-((sec2B+sec2C)*sumS2)+2*sumT2)|secB*(-(S*sec2B)+sumT2)*(-((sec2A+sec2C)*sumS2)+2*sumT2)|secC*(-(S*sec2C)+sumT2)*(-((sec2A+sec2B)*sumS2)+2*sumT2);INTERSECTION OF LINES X3X125 AND X4X135
X132;secA*(sin2A*sin2A+sin2A*(sin2A-sin2B-sin2C)+(sin2B-sin2C)*(sin2B-sin2C))*(-(sin2A*sin2B)+sin2B*sin2B-sin2A*sin2C+sin2C*sin2C)|secB*(sin2A*sin2A-sin2A*sin2B-sin2B*sin2C+sin2C*sin2C)*(sin2B*sin2B+sin2B*(-sin2A+sin2B-sin2C)+(-sin2A+sin2C)*(-sin2A+sin2C))|secC*(sin2A*sin2A+sin2B*sin2B-sin2A*sin2C-sin2B*sin2C)*((sin2A-sin2B)*(sin2A-sin2B)+sin2C*sin2C+sin2C*(-sin2A-sin2B+sin2C));X2X107∩X4X32
X133;secA*(2*sin2A-sin2B-sin2C)*(sin2A*sin2B+(sin2B-sin2C)*(sin2B-sin2C)+sin2A*sin2C-2*sin2B*sin2C)|secB*(-sin2A+2*sin2B-sin2C)*(sin2A*sin2B-2*sin2A*sin2C+sin2B*sin2C+(-sin2A+sin2C)*(-sin2A+sin2C))|secC*(-sin2A-sin2B+2*sin2C)*((sin2A-sin2B)*(sin2A-sin2B)-2*sin2A*sin2B+sin2A*sin2C+sin2B*sin2C);INTERSECTION OF LINES X4X74 AND X5X122
X134;secA*sin2A*(sin2B*sin2B-sin2C*sin2C)*Math.pow(-sin2A*sin2A+sin2B*sin2B+sin2C*sin2C,2)*((sin2A*sin2A-sin2B*sin2B)*sin2C*Math.pow(sin2A*sin2A+sin2B*sin2B-sin2C*sin2C,2)-sin2B*(sin2A*sin2A-sin2C*sin2C)*Math.pow(sin2A*sin2A-sin2B*sin2B+sin2C*sin2C,2))|secB*sin2B*(-sin2A*sin2A+sin2C*sin2C)*Math.pow(sin2A*sin2A-sin2B*sin2B+sin2C*sin2C,2)*(-((-sin2A*sin2A+sin2B*sin2B)*sin2C*Math.pow(sin2A*sin2A+sin2B*sin2B-sin2C*sin2C,2))+sin2A*(sin2B*sin2B-sin2C*sin2C)*Math.pow(-sin2A*sin2A+sin2B*sin2B+sin2C*sin2C,2))|secC*(sin2A*sin2A-sin2B*sin2B)*sin2C*Math.pow(sin2A*sin2A+sin2B*sin2B-sin2C*sin2C,2)*(sin2B*(-sin2A*sin2A+sin2C*sin2C)*Math.pow(sin2A*sin2A-sin2B*sin2B+sin2C*sin2C,2)-sin2A*(-sin2B*sin2B+sin2C*sin2C)*Math.pow(-sin2A*sin2A+sin2B*sin2B+sin2C*sin2C,2));X107-OF-ORTHIC-TRIANGLE
X135;secA*(sin2B/(-sec2A+sec2C)+sin2C/(sec2A-sec2B))|secB*(sin2A/(sec2B-sec2C)+sin2C/(sec2A-sec2B))|secC*(sin2A/(sec2B-sec2C)+sin2B/(-sec2A+sec2C));INTERSECTION OF LINE X4X131 AND X25X114
X136;((b2-c2)*(b2-c2)*(a4-2*a2*b2+b4-2*a2*c2+c4))/(a*(a2-b2-c2))|((-a2+c2)*(-a2+c2)*(a4-2*a2*b2+b4-2*b2*c2+c4))/(b*(-a2+b2-c2))|((a2-b2)*(a2-b2)*(a4+b4-2*a2*c2-2*b2*c2+c4))/(c*(-a2-b2+c2));INTERSECTION OF LINE X4X110 AND X25X132
X137;secA*(sin2B-sin2C)*(sin2B-sin2C)*(sin2B+sin2C)*(sin2A*sin2A-sin2B*sin2B-sin2B*sin2C-sin2C*sin2C)|secB*(-sin2A+sin2C)*(-sin2A+sin2C)*(sin2A+sin2C)*(-sin2A*sin2A+sin2B*sin2B-sin2A*sin2C-sin2C*sin2C)|secC*(sin2A-sin2B)*(sin2A-sin2B)*(sin2A+sin2B)*(-sin2A*sin2A-sin2A*sin2B-sin2B*sin2B+sin2C*sin2C);X110-OF-ORTHIC-TRIANGLE
X138;secA*(sin2B/(-sin2A*sin2A+2*sin2B*sin2B-sin2C*sin2C)+sin2C/(-sin2A*sin2A-sin2B*sin2B+2*sin2C*sin2C))|secB*(sin2A/(2*sin2A*sin2A-sin2B*sin2B-sin2C*sin2C)+sin2C/(-sin2A*sin2A-sin2B*sin2B+2*sin2C*sin2C))|secC*(sin2A/(2*sin2A*sin2A-sin2B*sin2B-sin2C*sin2C)+sin2B/(-sin2A*sin2A+2*sin2B*sin2B-sin2C*sin2C));X111-OF-ORTHIC-TRIANGLE
X139;secA*(sin2B-sin2C)*(sin2B-sin2C)*(sin2B+sin2C)*(-sin2A*sin2A+sin2B*sin2B+sin2C*sin2C)*(-Math.pow(sin2A,4)+Math.pow(sin2B,4)+Math.pow(sin2C,4)+sin2B*sin2C*(-sin2A*sin2A+sin2B*sin2B+sin2C*sin2C))|secB*(-sin2A+sin2C)*(-sin2A+sin2C)*(sin2A+sin2C)*(sin2A*sin2A-sin2B*sin2B+sin2C*sin2C)*(Math.pow(sin2A,4)-Math.pow(sin2B,4)+Math.pow(sin2C,4)+sin2A*sin2C*(sin2A*sin2A-sin2B*sin2B+sin2C*sin2C))|secC*(sin2A-sin2B)*(sin2A-sin2B)*(sin2A+sin2B)*(sin2A*sin2A+sin2B*sin2B-sin2C*sin2C)*(Math.pow(sin2A,4)+Math.pow(sin2B,4)-Math.pow(sin2C,4)+sin2A*sin2B*(sin2A*sin2A+sin2B*sin2B-sin2C*sin2C));X112-OF-ORTHIC-TRIANGLE
X140;2*a3+(b2-c2)*(b2-c2)/a-3*a*(b2+c2)|2*b3+(-a2+c2)*(-a2+c2)/b-3*b*(a2+c2)|(a2-b2)*(a2-b2)/c-3*(a2+b2)*c+2*c3;MIDPOINT OF X3 AND X5
X141;b*c*(b2+c2)|a*c*(a2+c2)|a*b*(a2+b2);COMPLEMENT OF SYMMEDIAN POINT
X142;b-(b-c)*(b-c)/a+c|a+c-(-a+c)*(-a+c)/b|a+b-(a-b)*(a-b)/c;COMPLEMENT OF X9
X143;a*(a2*b2-b4+a2*c2+2*b2*c2-c4)*(a4-2*a2*b2+b4-2*a2*c2-b2*c2+c4)|b*(-a4+a2*b2+2*a2*c2+b2*c2-c4)*(a4-2*a2*b2+b4-a2*c2-2*b2*c2+c4)|c*(-a4+2*a2*b2-b4+a2*c2+b2*c2)*(a4-a2*b2+b4-2*a2*c2-2*b2*c2+c4);NINE-POINT CENTER OF ORTHIC TRIANGLE
X144;3*a-(b-c)*(b-c)/a-2*(b+c)|3*b-(-a+c)*(-a+c)/b-2*(a+c)|-2*(a+b)-(a-b)*(a-b)/c+3*c;ANTICOMPLEMENT OF X7
X145;b*(3*a-b-c)*c|a*(-a+3*b-c)*c|a*b*(-a-b+3*c);ANTICOMPLEMENT OF NAGEL POINT
